Date,Status,Action,Message,Connection,Details
"2025-11-25 17:01:11",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""Izbqp3hPnhMXiNkJdsu7XVD1BCkPebGY"",""spoke_post_id"":46665}"
"2025-11-25 17:01:10",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-25 17:01:10",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":46665}"
"2025-11-25 17:01:10",SUCCESS,async_create,"Async create completed for ""1.9.8.6"" (1.73s)",-,"{""hub_id"":46756,""local_id"":46665,""processing_time"":1.7343039512634277,""job_id"":""Izbqp3hPnhMXiNkJdsu7XVD1BCkPebGY""}"
"2025-11-25 17:01:09",SUCCESS,gallery_sync,"Downloaded 1 gallery images",-,"{""image_map"":{""46758"":{""spoke_id"":46666,""hub_url"":""https:\/\/hub2a.wpenginepowered.com\/wp-content\/uploads\/2025\/11\/unnamed-23.jpg"",""spoke_url"":""https:\/\/spoke2.wpenginepowered.com\/wp-content\/uploads\/2025\/11\/unnamed-23.jpg""}}}"
"2025-11-25 17:01:09",SUCCESS,gallery_sync,"Remapped gallery IDs in post content",-,[]
"2025-11-25 17:01:09",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":46665,""intended_status"":""draft""}"
"2025-11-25 17:01:08",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46756,""title"":""1.9.8.6""}"
"2025-11-25 17:01:08",INFO,job_queued,"Job queued for processing: ""1.9.8.6""",-,"{""job_id"":""Izbqp3hPnhMXiNkJdsu7XVD1BCkPebGY"",""hub_id"":46756,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-25 17:01:08",INFO,job_processing,"Job processing started: ""1.9.8.6""",-,"{""job_id"":""Izbqp3hPnhMXiNkJdsu7XVD1BCkPebGY"",""action"":""create"",""hub_id"":46756}"
"2025-11-25 17:01:08",INFO,debug_content,"DEBUG: Content received from hub: <p data-path-to-node=""2,1"">In version <strong>1.9.8.6</strong>, we have optimized the communication workflow between Hub and Spoke sites to prevent timing errors during post creation.</p>
<p data-path-to-node=""2,2"">Previously, updates containing auxiliary information—such as images or Yoast SEO data—were sometimes dispatched before the destination post was fully established on the Spoke site. This ""race condition"" frequently caused synchronization issues, leading to duplicate posts and imag",-,"{""full_content_length"":1000}"
"2025-11-25 17:01:08",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-25 17:01:08",INFO,gallery_sync,"Received 1 gallery images for processing",-,[]
