Date,Status,Action,Message,Connection,Details
"2025-11-25 17:01:08",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""6aFO9PezIkDmAXe3eAdjTKFD15jit56U"",""spoke_post_id"":47386}"
"2025-11-25 17:01:07",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-25 17:01:07",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":47386}"
"2025-11-25 17:01:07",SUCCESS,async_create,"Async create completed for ""1.9.8.6"" (1.80s)",-,"{""hub_id"":46756,""local_id"":47386,""processing_time"":1.796888828277588,""job_id"":""6aFO9PezIkDmAXe3eAdjTKFD15jit56U""}"
"2025-11-25 17:01:06",SUCCESS,gallery_sync,"Downloaded 1 gallery images",-,"{""image_map"":{""46758"":{""spoke_id"":47387,""hub_url"":""https:\/\/hub2a.wpenginepowered.com\/wp-content\/uploads\/2025\/11\/unnamed-23.jpg"",""spoke_url"":""https:\/\/hub20spokesite.wpenginepowered.com\/wp-content\/uploads\/2025\/11\/unnamed-23.jpg""}}}"
"2025-11-25 17:01:06",SUCCESS,gallery_sync,"Remapped gallery IDs in post content",-,[]
"2025-11-25 17:01:06",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47386,""intended_status"":""draft""}"
"2025-11-25 17:01:05",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46756,""title"":""1.9.8.6""}"
"2025-11-25 17:01:05",INFO,job_queued,"Job queued for processing: ""1.9.8.6""",-,"{""job_id"":""6aFO9PezIkDmAXe3eAdjTKFD15jit56U"",""hub_id"":46756,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-25 17:01:05",INFO,job_processing,"Job processing started: ""1.9.8.6""",-,"{""job_id"":""6aFO9PezIkDmAXe3eAdjTKFD15jit56U"",""action"":""create"",""hub_id"":46756}"
"2025-11-25 17:01:05",INFO,debug_content,"DEBUG: Content received from hub: <p data-path-to-node=""2,1"">In version <strong>1.9.8.6</strong>, we have optimized the communication workflow between Hub and Spoke sites to prevent timing errors during post creation.</p>
<p data-path-to-node=""2,2"">Previously, updates containing auxiliary information—such as images or Yoast SEO data—were sometimes dispatched before the destination post was fully established on the Spoke site. This ""race condition"" frequently caused synchronization issues, leading to duplicate posts and imag",-,"{""full_content_length"":1000}"
"2025-11-25 17:01:05",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-25 17:01:05",INFO,gallery_sync,"Received 1 gallery images for processing",-,[]
